id,ra,dec,p,p_er,evpa,evpa_er,q,q_er,u,u_er,dist,dist_low,dist_up,Rmag1,date_obs
IT_1625-0143564,296.10635,72.50703,0.01464,0.00157,-26.05215,3.03758,0.00899,0.00152,-0.01155,0.00161,934.272712240027,922.822971979415,946.004883109624,14.05,2019
1619-0139302,295.0808,71.97281,0.01057,0.0063,-32.0,21.399999618530273,0.00464,0.00589,-0.0095,0.00639,1345.0,1320.0,1372.0,14.06,2016
IT_1623-0142229,295.41766,72.36525,0.01874,0.00283,-23.9502,4.309,0.01256,0.00276,-0.0139,0.00289,1128.12090992323,1111.80940949403,1144.90917632822,14.08,2019
IT_1623-0142566,295.99048,72.32441,0.02038,0.00145,-19.89377,2.05396,0.01566,0.00143,-0.01304,0.00148,414.853723013996,412.581277200738,417.150889264047,14.08,2019
IT_1628-0143363,294.68381,72.87799,0.00919,0.00295,-23.16382,9.17673,0.00634,0.0029,-0.00664,0.00299,581.95177683969,576.712133687114,587.285765693057,14.08,2019
1618-0137686,295.03961,71.89679,0.02675,0.00688,-12.5,7.699999809265137,0.02422,0.00683,-0.01135,0.00711,499.0,496.0,503.0,14.08,2016
IT_1629-0138516,294.28342,72.92066,0.01021,0.00283,-20.49577,7.98806,0.0077,0.00279,-0.00669,0.00289,1214.76123675647,1193.02975127681,1237.28394352882,14.09,2019
IT_1623-0141082,293.15527,72.33459,0.01608,0.00202,-20.14233,3.62357,0.01226,0.00198,-0.01039,0.00207,569.966768461576,565.396972388733,574.609694739478,14.09,2019
IT_1621-0143859,294.55368,72.1697,0.02036,0.00357,-27.33057,4.90585,0.01177,0.0034,-0.0166,0.00365,882.243412410268,869.920011510239,894.914474589343,14.09,2019
IT_1629-0138352,293.86743,72.99308,0.0095,0.00209,-8.93199,6.55032,0.00904,0.00208,-0.00291,0.00218,1225.24109564614,1199.52678713286,1252.06051086193,14.12,2019
IT_1625-0142876,294.96017,72.53252,0.018,0.00283,-21.56676,4.50731,0.01313,0.0028,-0.0123,0.00286,703.763707383554,697.049514565869,710.606140397935,14.12,2019
IT_1624-0142246,296.12631,72.45512,0.01526,0.00173,-28.42486,3.17262,0.00834,0.00166,-0.01277,0.00176,2467.94293601092,2396.57130271057,2543.60093241174,14.12,2019
IT_1620-0139801,292.82413,72.01635,0.01671,0.00286,-43.91302,5.17939,6.3E-4,0.00302,-0.01669,0.00286,4476.93230013987,4097.32407041635,4927.65153409283,14.14,2019
1624-0141453,294.58534,72.46917,0.01478,0.00816,-15.800000190734863,19.399999618530273,0.01259,0.00791,-0.00774,0.0088,623.0,613.0,632.0,14.14,2016
IT_1624-0141663,295.06192,72.49334,0.01092,0.00195,-30.29439,5.23788,0.00536,0.00202,-0.00951,0.00193,1021.08252603829,1005.75879476569,1036.87166216016,14.17,2019
IT_1622-0144655,292.9241,72.29033,0.01421,0.002,-17.78868,4.0885,0.01155,0.00197,-0.00826,0.00206,393.980208772281,390.589167703682,397.429576080019,14.17,2019
IT_1623-0142314,295.58804,72.33062,0.01917,0.00135,-24.92339,1.98877,0.01236,0.00129,-0.01465,0.00139,881.587092131511,870.188680558077,893.28253839474,14.17,2019
IT_1620-0140725,294.6033,72.0476,0.01609,0.00182,-22.02279,3.24654,0.01156,0.00179,-0.01118,0.00186,797.993693851182,778.220804371095,818.777936684164,14.17,2019
IT_1622-0145034,293.74887,72.2312,0.01161,0.00193,-26.31788,4.69469,0.00704,0.00187,-0.00922,0.00196,673.044954503097,665.827241439321,680.417994238023,14.18,2019
IT_1623-0140984,292.91919,72.39781,0.01249,0.00257,-25.06824,5.86831,0.008,0.00252,-0.00958,0.00261,710.424171456132,704.199481934385,716.757881076267,14.18,2019
IT_1625-0143576,296.11813,72.57211,0.00908,0.00186,-40.80937,5.66334,0.00132,0.00179,-0.00898,0.00186,1003.6600390007,988.282454044005,1019.51474528691,14.18,2019
IT_1629-0139104,295.28806,72.92723,0.0119,0.0029,-29.14884,6.87442,0.00625,0.00282,-0.01012,0.00293,561.969631888526,557.163380251662,566.858016290807,14.18,2019
